"","ch_edaphic_eivdescombes_pixel_d","ch_edaphic_eivdescombes_pixel_f","ch_edaphic_eivdescombes_pixel_h","ch_edaphic_eivdescombes_pixel_k","ch_edaphic_eivdescombes_pixel_l","ch_edaphic_eivdescombes_pixel_n","ch_edaphic_eivdescombes_pixel_r","ch_edaphic_eivdescombes_pixel_w","meanEVI_annualmax_2017_2021","meanEVI_annualmean_2017_2021","meanEVI_annualmedian_2017_2021","meanEVI_annualmin_2017_2021","meanEVI_annualrange_2017_2021","meanEVI_annualstd_2017_2021","meanGCI_annualmax_2017_2021","meanGCI_annualmean_2017_2021","meanGCI_annualmedian_2017_2021","meanGCI_annualmin_2017_2021","meanGCI_annualrange_2017_2021","meanGCI_annualstd_2017_2021","gdd0Y_8110_LV95","gdd3Y_8110_LV95","gdd5Y_8110_LV95","AI_8110_LV95","bio1_t_8110_LV95","bio2_tdr_8110_LV95","bio3_tiso_8110_LV95","bio4_ts_8110_LV95","bio5_tmaxw_8110_LV95","bio6_tminc_8110_LV95","bio7_tar_8110_LV95","bio8_twetq_8110_LV95","bio9_tdryq_8110_LV95","bio10_twarmq_8110_LV95","bio11_tcoldq_8110_LV95","bio12_p_8110_LV95","bio13_pwet_8110_LV95","bio14_pdry_8110_LV95","bio15_ps_8110_LV95","bio16_pwetq_8110_LV95","bio17_pdryq_8110_LV95","bio18_pwarmq_8110_LV95","bio19_pcoldq_8110_LV95","etpY_8110_LV95","east_mean","eastSlope_mean","mnt_mean","north_mean","northSlope_mean","roughness_mean","slope_mean","TPI_mean","TRI_mean","CanopyVaud2m_max","CanopyVaud2m_mean","CanopyVaud2m_median","CanopyVaud2m_min","CanopyVaud2m_sd","ForetBuissannante_prop","ForetClairsemee_prop","ForetDense_prop","Glacier_prop","RocheMeubler_prop","Rocks_Min80Per_prop","ZHumide_prop","sradY","SCD15_final","SCD40_final"
"14",3.85288691520691,2.95492625236511,1.88387489318848,3.06777024269104,4.41034412384033,2.1482355594635,6.93889951705933,1.46378099918365,97790000,4267500,8345000,-152072496,269240000,46487500,32905000,8825000,4700000,-5950000,38857500,1.1e+07,1286.30004882812,740.299987792969,469.299987792969,12,1.60000002384186,6.80000019073486,31.2999992370605,553.599975585938,13.6000003814697,-8.19999980926514,21.7000007629395,8.5,-3,8.5,-4.5,2090.89990234375,208.699996948242,136.699996948242,13.6999998092651,617.799987792969,452.700012207031,617.799987792969,528.599975585938,264.100006103516,-0.286570012569427,-0.168344974517822,2262.03198242188,-0.957432866096497,-0.561880707740784,1.85508894920349,35.9387168884277,-0.0198898315429688,0.578789591789246,0,0,0,0,0,0,0,0,0,0,0,0,90539.578125,144,144
"15",3.7002432346344,2.82183337211609,2.10735368728638,3.19966697692871,4.34609413146973,2.18654179573059,6.89150381088257,1.49186229705811,82232002,-24327500,2292500,-450062496,507524992,115957500,4705000,817500,967500,-5780000,10485000,2597500,1234.09997558594,703.200012207031,442,11,1.29999995231628,6.80000019073486,31.2999992370605,555.5,13.3999996185303,-8.5,21.8999996185303,8.30000019073486,-3.20000004768372,8.30000019073486,-4.80000019073486,2189.60009765625,219,142.899993896484,13.8999996185303,649.299987792969,472.399993896484,649.299987792969,553,252.600006103516,0.247334882616997,0.11802876740694,2182.77685546875,-0.968915939331055,-0.462356716394424,1.33534073829651,28.5020751953125,0.00214385986328125,0.430155426263809,0,0,0,0,0,0,0,0,0,1,0,0,90911.75,156,143
"16",3.79537487030029,2.75325465202332,2.01081347465515,3.22690653800964,4.41656875610352,2.13381481170654,6.93634986877441,1.51140296459198,18922000,3177500,3907500,-23552500,44062500,9482500,7232500,1842500,1577500,-4767500,1.2e+07,3332500,1222,694.5,435.299987792969,11,1.20000004768372,6.80000019073486,31.2000007629395,555,13.3000001907349,-8.60000038146973,21.8999996185303,8.19999980926514,-3.29999995231628,8.19999980926514,-4.90000009536743,2182.30004882812,218.199996948242,142.600006103516,13.8999996185303,647.099975585938,471,647.099975585938,550.799987792969,249.100006103516,-0.363448917865753,-0.203740522265434,2188.4228515625,-0.931614100933075,-0.522239863872528,1.751708984375,34.0955963134766,-0.00016021728515625,0.534091532230377,0.138671875,0.056640625,0.0439453125,0,0.0686100348830223,0,0,0,0,0.990000009536743,0.00999999977648258,0,91070.3828125,137,134
"17",3.72417092323303,2.88911938667297,2.04875135421753,3.1690685749054,4.35442399978638,2.19726085662842,6.8590521812439,1.50621581077576,41562002,6035000,4600000,-14185000,58807500,11730000,8002500,1607500,9e+05,-5872500,13880000,3782500,1267.30004882812,728.099975585938,461.299987792969,11,1.5,6.90000009536743,31.3999996185303,555.799987792969,13.6000003814697,-8.39999961853027,22,8.39999961853027,-3.09999990463257,8.39999961853027,-4.69999980926514,2183.10009765625,218.399993896484,142.5,13.8999996185303,647.700012207031,470.700012207031,647.700012207031,550.900024414062,253.899993896484,0.444974631071091,0.129841551184654,2120.263671875,-0.895523309707642,-0.261310309171677,0.803602457046509,16.9655380249023,6.866455078125e-05,0.234341084957123,0,0,0,0,0,0,0,0,0,1,0,0,88651.2109375,148,146
"18",3.42668104171753,3.09906339645386,2.3979697227478,2.98272848129272,4.20800495147705,2.20581555366516,6.72476768493652,1.52558028697968,14656000,-3947500,4275000,-212472496,227157504,42445000,9082500,2267500,1362500,-5682500,14767500,4277500,1272.59997558594,732.099975585938,464.399993896484,11,1.5,6.90000009536743,31.2999992370605,556.900024414062,13.6000003814697,-8.39999961853027,22,8.5,-3.09999990463257,8.5,-4.69999980926514,2196.89990234375,219.899993896484,143.300003051758,14,651.799987792969,473.600006103516,651.799987792969,554.799987792969,256.100006103516,0.61579155921936,0.216508120298386,2110.859375,-0.782371520996094,-0.270997434854507,1.09280061721802,20.3967933654785,-0.03558349609375,0.283860951662064,0,0,0,0,0,0,0,0,0,1,0,0,76735.9296875,153,150
"19",2.670086145401,2.99497556686401,3.04214215278625,3.08102989196777,3.98966598510742,2.41179394721985,6.44442653656006,1.67320680618286,22306001,3885000,9807500,-89585000,113060000,24702500,30315000,11225000,9715000,-3922500,34235000,12520000,1273.30004882812,733.200012207031,465.399993896484,10,1.5,6.90000009536743,31.3999996185303,558,13.6999998092651,-8.39999961853027,22.1000003814697,8.5,-3.09999990463257,8.5,-4.80000019073486,2129.89990234375,213.300003051758,139.600006103516,14.1000003814697,633.799987792969,458.399993896484,633.799987792969,535.400024414062,223.800003051758,-0.937051951885223,-0.30149444937706,2081.24438476562,0.349143415689468,0.11233539134264,0.930691182613373,18.768669128418,-0.00019073486328125,0.285444468259811,0.497314453125,0.46722412109375,0.4658203125,0.43994140625,0.027834439650178,0,0,0,0,1,0,0,65031.64453125,137,137
"20",3.32478189468384,2.92050290107727,2.50250768661499,3.1433310508728,4.0949501991272,2.27160716056824,6.69446992874146,1.61003506183624,98074004,4082500,10965000,-211167504,326762496,59237500,28977500,8105000,5295000,-5897500,34877500,11257500,1290.09997558594,745.900024414062,475.299987792969,10,1.5,7,31.5,561.200012207031,13.8000001907349,-8.39999961853027,22.2000007629395,8.60000038146973,-3,8.60000038146973,-4.69999980926514,2111.19995117188,211.300003051758,138.600006103516,14,628.400024414062,454.399993896484,628.400024414062,530.200012207031,237,0.97734272480011,0.107984907925129,2057.71630859375,0.211560636758804,0.0233773645013571,0.264811187982559,6.34349346160889,-0.0002899169921875,0.08709716796875,0.43017578125,0.31414794921875,0.3076171875,0.211181640625,0.0933337807655334,0,0,0,0,0.409999996423721,0,0,81352.046875,159,159
"21",2.66062760353088,2.89877605438232,3.10712695121765,3.1802294254303,4.00982618331909,2.37363743782043,6.40353441238403,1.64723527431488,59517998,13265000,13720000,-23525000,89320000,17395000,61870000,22302500,12382500,-4525000,66395000,23415000,1304.69995117188,756.400024414062,483.399993896484,11,1.60000002384186,6.90000009536743,31.3999996185303,560.299987792969,13.8000001907349,-8.30000019073486,22.1000003814697,8.60000038146973,-3,8.60000038146973,-4.59999990463257,2130,213.399993896484,139.899993896484,14.1000003814697,634.400024414062,458.100006103516,634.400024414062,534.599975585938,246.899993896484,-0.43917179107666,-0.0369775854051113,2052.63452148438,-0.898398399353027,-0.0756428837776184,0.228895395994186,4.82989025115967,-0.000244140625,0.0672064870595932,0.381591796875,0.12725830078125,0.063720703125,0,0.179884135723114,0,0,0,0,0,0,0,84091.328125,127,127
"23",2.64356231689453,2.96623396873474,2.98334836959839,3.14984464645386,3.99658012390137,2.34720945358276,6.3776912689209,1.69135999679565,42956001,12175000,13077500,-28840000,74642496,15475000,52250000,16790000,5702500,-6257500,58502500,21422500,1342,783.900024414062,504.700012207031,10,1.79999995231628,6.90000009536743,31.2999992370605,559.5,14,-8.10000038146973,22.1000003814697,8.80000019073486,-2.79999995231628,8.80000019073486,-4.40000009536743,2188.5,219.399993896484,143.199996948242,14,650.5,471,650.5,550.799987792969,254.5,-0.907997131347656,-0.0439732931554317,2018.73876953125,0.383559972047806,0.0167625397443771,0.162448465824127,2.73753523826599,0.009796142578125,0.0537194162607193,0.131591796875,0.05682373046875,0.0478515625,0,0.0554750598967075,0,0,0,0,0,0,0,75486.1640625,142,142
"24",2.6282799243927,3.02029895782471,2.97535705566406,3.13385033607483,4.00935554504395,2.35835695266724,6.36482334136963,1.74842655658722,29286001,10870000,11762500,-3287500,27965000,8090000,54595000,15665000,4800000,-5605000,60200000,20722500,1335.59997558594,779.200012207031,501,10,1.79999995231628,6.90000009536743,31.2999992370605,558.700012207031,14,-8.10000038146973,22.1000003814697,8.69999980926514,-2.79999995231628,8.69999980926514,-4.5,2192.39990234375,219.899993896484,143.5,14.1000003814697,652,471.799987792969,652,551.799987792969,247.899993896484,-0.973832368850708,-0.0890074819326401,2020.68041992188,-0.209111332893372,-0.019239354878664,0.229098856449127,5.2455906867981,-0.00704574584960938,0.0697886124253273,0.4490966796875,0.3416748046875,0.3309326171875,0.2557373046875,0.081444226205349,0,0,0,0,0,0,0,72963.0625,143,144
"25",2.6507728099823,2.99125337600708,3.01155996322632,3.10538172721863,3.98223090171814,2.43690180778503,6.38180446624756,1.66868567466736,49422002,11050000,11365000,-2.5e+07,82045000,14690000,30162500,8742500,3042500,-5410000,35572500,11580000,1323,769.799987792969,493.600006103516,11,1.70000004768372,6.90000009536743,31.2999992370605,559.400024414062,13.8999996185303,-8.19999980926514,22.1000003814697,8.69999980926514,-2.90000009536743,8.69999980926514,-4.5,2186.89990234375,219.100006103516,142.899993896484,14.1000003814697,650.299987792969,470.5,650.299987792969,550.799987792969,253.199996948242,-0.45148029923439,-0.0439848750829697,2034.95751953125,-0.889200568199158,-0.0892338305711746,0.350301116704941,5.72577476501465,0.0124244689941406,0.110466852784157,0,0,0,0,0,0,0,0,0,0.759999990463257,0,0,82773.421875,146,146
"28",2.444331407547,3.18383455276489,3.14086127281189,3.00489902496338,3.77389574050903,2.81537938117981,6.27271032333374,1.80475401878357,40678000,10637500,12710000,-22010000,67435000,14837500,53487500,19437500,7865000,-5145000,58637500,20955000,1367.09997558594,803.099975585938,520.200012207031,12,1.89999997615814,7,31.3999996185303,561.5,14.1999998092651,-8,22.2000007629395,8.89999961853027,-2.59999990463257,8.89999961853027,-4.30000019073486,2111,211.800003051758,139.199996948242,14.1999998092651,630.099975585938,453.200012207031,630.099975585938,527.400024414062,267,0.224963799118996,0.0691564977169037,2020.68225097656,-0.969413876533508,-0.323437690734863,0.645439982414246,19.4528617858887,0.0603485107421875,0.20298258960247,0.349853515625,0.25543212890625,0.25054931640625,0.1707763671875,0.0748039409518242,0,0,0,0,0,0.230000004172325,0,83046.8359375,122,109
"30",2.45820665359497,2.96400904655457,3.3790078163147,3.10256934165955,3.85671806335449,2.49286699295044,6.11601448059082,1.70652914047241,28563999,9860000,10757500,-14915000,44827500,10685000,60865000,22912500,15895000,-3947500,64812500,22097500,1397.30004882812,825.700012207031,537.900024414062,12,2,6.90000009536743,31.3999996185303,560.799987792969,14.3000001907349,-7.90000009536743,22.2000007629395,9.10000038146973,-2.5,9.10000038146973,-4.19999980926514,2161.80004882812,217,142.300003051758,14.1999998092651,644.900024414062,464,644.900024414062,540.599975585938,273.600006103516,-0.217482715845108,-0.122535884380341,2002.48999023438,-0.975670039653778,-0.551437795162201,1.68108451366425,34.4181594848633,0.032501220703125,0.561796426773071,0.6102294921875,0.22064208984375,0.13616943359375,0,0.289722144603729,0,0,0,0,0,0,0,89141.0546875,111,100
"31",2.38501405715942,3.12941074371338,3.44088578224182,3.00950813293457,3.90147423744202,2.39772868156433,6.03316783905029,1.82270991802216,32268000,11080000,13617500,-18575000,53052500,11925000,49375000,15487500,6565000,-5107500,54485000,19492500,1356.90002441406,795.200012207031,513.700012207031,11,1.89999997615814,6.90000009536743,31.2999992370605,559.799987792969,14.1000003814697,-8,22.1000003814697,8.89999961853027,-2.70000004768372,8.89999961853027,-4.30000019073486,2180,218.899993896484,143.199996948242,14.1000003814697,649.400024414062,468.5,649.400024414062,546.599975585938,246.800003051758,0.960151553153992,0.271161735057831,2056.01879882812,-0.279459863901138,-0.078925833106041,0.733425557613373,16.404468536377,-0.00020599365234375,0.232245549559593,0,0,0,0,0,0,0,0,0,0,0,0,80170.2578125,140,139
"32",2.56628727912903,2.92949151992798,3.34148740768433,3.05218195915222,3.87624406814575,2.35531258583069,5.95265865325928,1.5915755033493,41262002,10087500,10857500,-28120000,71992496,14010000,47002500,13490000,6587500,-6225000,53227500,18665000,1384.09997558594,815.700012207031,529.900024414062,11,2,6.90000009536743,31.2999992370605,559.400024414062,14.1999998092651,-7.90000009536743,22.1000003814697,9,-2.59999990463257,9,-4.19999980926514,2162.69995117188,217.199996948242,142.5,14.1000003814697,644.5,464.799987792969,644.5,540.799987792969,261.700012207031,0.501285135746002,0.0581152141094208,2075.19189453125,-0.865241408348083,-0.100309178233147,0.27099609375,6.65739440917969,-3.814697265625e-05,0.0847913920879364,0,0,0,0,0,0,0,0,0,0.469999998807907,0,0,75573.6328125,144,144
"33",2.511559009552,3.01588702201843,3.3636953830719,3.00689935684204,3.92977404594421,2.32226848602295,6.15709590911865,1.67220520973206,554478008,46407500,4827500,435000,687942528,162437500,32930000,7220000,-435000,-3687500,36615000,12410000,1400.30004882812,827.599975585938,539.200012207031,10,2.09999990463257,6.80000019073486,31.2000007629395,558.900024414062,14.1999998092651,-7.80000019073486,22,9.10000038146973,-2.5,9.10000038146973,-4.19999980926514,2142,215.399993896484,141.699996948242,14.1000003814697,638.900024414062,460.299987792969,638.900024414062,534,232.699996948242,-0.783844470977783,-0.208165422081947,2097.38793945312,0.620931923389435,0.164900898933411,0.767306864261627,15.4008359909058,3.814697265625e-05,0.203033447265625,0.521484375,0.35400390625,0.30126953125,0.268798828125,0.114841461181641,0,0,0,0,0.00999999977648258,0,0,64698.109375,155,155
"35",2.67001581192017,3.0191376209259,3.26858592033386,3.02917671203613,3.9247465133667,2.30869293212891,6.29807424545288,1.63357269763947,31670000,4012500,1835000,-53137500,88487504,20032500,35037500,3200000,-2960000,-7990000,43022500,13477500,1413.30004882812,838,547.599975585938,10,2.09999990463257,6.90000009536743,31.3999996185303,560.599975585938,14.3999996185303,-7.80000019073486,22.2000007629395,9.19999980926514,-2.40000009536743,9.19999980926514,-4.19999980926514,2139.30004882812,215.5,142.199996948242,14.3000001907349,640.700012207031,458.100006103516,640.700012207031,530,250.600006103516,0.866688251495361,0.0902493298053741,2066.65600585938,-0.497850805521011,-0.0518398843705654,0.272623687982559,5.97709035873413,-9.1552734375e-05,0.0778062641620636,1.03125,0.56927490234375,0.5484619140625,0.14892578125,0.423161774873734,0,0,0,0,0,0,0,72489.0546875,170,170
"37",2.82877898216248,2.94676065444946,3.1823194026947,3.01892709732056,3.97199201583862,2.27128148078918,6.23168611526489,1.52500545978546,34870000,9377500,9250000,-8555000,46752500,10125000,40667500,7340000,-1130000,-7667500,48335000,16127500,1395,823.900024414062,536.400024414062,11,2.09999990463257,6.80000019073486,31.2000007629395,558.299987792969,14.1999998092651,-7.80000019073486,22,9.10000038146973,-2.5,9.10000038146973,-4.19999980926514,2123.10009765625,213.899993896484,141.300003051758,14.3000001907349,635.299987792969,455.200012207031,635.299987792969,525.700012207031,255.699996948242,0.995969533920288,0.10314117372036,2150.92138671875,-0.0896903648972511,-0.00928817130625248,0.225857198238373,5.94412612915039,0,0.0800577774643898,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0,69997.6171875,164,164
"38",2.83314609527588,2.84571290016174,3.25629687309265,3.09878468513489,4.09466505050659,2.20956182479858,6.16653537750244,1.46369302272797,21816001,8035000,6605000,-9050000,31607500,8160000,42247500,8532500,-990000,-7922500,50170000,17105000,1402.09997558594,829,540.099975585938,11,2.09999990463257,6.80000019073486,31.1000003814697,558.200012207031,14.1999998092651,-7.80000019073486,22,9.10000038146973,-2.5,9.10000038146973,-4.19999980926514,2118.39990234375,213.5,141.100006103516,14.1999998092651,633.5,454.600006103516,633.5,524.700012207031,257.5,-0.989050686359406,-0.275847047567368,2142.96044921875,-0.147572323679924,-0.0411509200930595,0.654215514659882,16.1949882507324,0.00585174560546875,0.224677190184593,0,0,0,0,0,0,0,0,0,0,0,0,72278.2890625,167,167
"39",2.91803431510925,2.63854908943176,2.91134262084961,3.34846687316895,3.76578450202942,2.39386081695557,6.6436653137207,1.60956239700317,29910000,9362500,11742500,-33545000,66047500,15100000,63435000,16340000,8030000,-7457500,70887504,23937500,1809.80004882812,1145.40002441406,792.700012207031,17,3.79999995231628,7.5,32.7000007629395,572.700012207031,16.5,-6.5,23,10.8999996185303,-0.600000023841858,10.8999996185303,-2.70000004768372,1955,198,132.699996948242,14,584.200012207031,421.799987792969,584.200012207031,478.799987792969,348.899993896484,0.107224091887474,0.0614591762423515,1826.49243164062,-0.993855953216553,-0.569519102573395,1.49224174022675,34.963493347168,-0.00437164306640625,0.517506897449493,0,0,0,0,0,0,0,0,0,0.980000019073486,0,0,80828.1328125,139,135
